2021-09-03 06:33:05 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u1
2021-09-03 06:33:05 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 install gpgsm:amd64 <none> 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 install gnupg:all <none> 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-installed gnupg:all 2.2.12-1+deb10u1
2021-09-03 06:33:06 status unpacked gnupg:all 2.2.12-1+deb10u1
2021-09-03 06:33:06 startup packages configure
2021-09-03 06:33:06 configure libksba8:amd64 1.3.5-2 <none>
2021-09-03 06:33:06 status unpacked libksba8:amd64 1.3.5-2
2021-09-03 06:33:06 status half-configured libksba8:amd64 1.3.5-2
2021-09-03 06:33:06 status installed libksba8:amd64 1.3.5-2
2021-09-03 06:33:06 configure lsb-base:all 10.2019051400 <none>
2021-09-03 06:33:06 status unpacked lsb-base:all 10.2019051400
2021-09-03 06:33:06 status half-configured lsb-base:all 10.2019051400
2021-09-03 06:33:06 status installed lsb-base:all 10.2019051400
2021-09-03 06:33:06 configure libsqlite3-0:amd64 3.27.2-3+deb10u1 <none>
2021-09-03 06:33:06 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-09-03 06:33:06 status half-configured libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-09-03 06:33:06 status installed libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-09-03 06:33:06 configure libnpth0:amd64 1.6-1 <none>
2021-09-03 06:33:06 status unpacked libnpth0:amd64 1.6-1
2021-09-03 06:33:06 status half-configured libnpth0:amd64 1.6-1
2021-09-03 06:33:06 status installed libnpth0:amd64 1.6-1
2021-09-03 06:33:06 configure libassuan0:amd64 2.5.2-1 <none>
2021-09-03 06:33:06 status unpacked libassuan0:amd64 2.5.2-1
2021-09-03 06:33:06 status half-configured libassuan0:amd64 2.5.2-1
2021-09-03 06:33:06 status installed libassuan0:amd64 2.5.2-1
2021-09-03 06:33:06 configure gnupg-l10n:all 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured gnupg-l10n:all 2.2.12-1+deb10u1
2021-09-03 06:33:06 status installed gnupg-l10n:all 2.2.12-1+deb10u1
2021-09-03 06:33:06 configure readline-common:all 7.0-5 <none>
2021-09-03 06:33:06 status unpacked readline-common:all 7.0-5
2021-09-03 06:33:06 status half-configured readline-common:all 7.0-5
2021-09-03 06:33:06 status installed readline-common:all 7.0-5
2021-09-03 06:33:06 configure libreadline7:amd64 7.0-5 <none>
2021-09-03 06:33:06 status unpacked libreadline7:amd64 7.0-5
2021-09-03 06:33:06 status half-configured libreadline7:amd64 7.0-5
2021-09-03 06:33:06 status installed libreadline7:amd64 7.0-5
2021-09-03 06:33:06 configure gnupg-utils:amd64 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured gnupg-utils:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status installed gnupg-utils:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 configure pinentry-curses:amd64 1.1.0-2 <none>
2021-09-03 06:33:06 status unpacked pinentry-curses:amd64 1.1.0-2
2021-09-03 06:33:06 status half-configured pinentry-curses:amd64 1.1.0-2
2021-09-03 06:33:06 status installed pinentry-curses:amd64 1.1.0-2
2021-09-03 06:33:06 configure gpgconf:amd64 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured gpgconf:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status installed gpgconf:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 configure gpg:amd64 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked gpg:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured gpg:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status installed gpg:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 configure gpg-agent:amd64 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured gpg-agent:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status installed gpg-agent:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 configure gpgsm:amd64 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured gpgsm:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status installed gpgsm:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 configure dirmngr:amd64 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured dirmngr:amd64 2.2.12-1+deb10u1
